"taxa","species"
"fish","Abramis brama"
"fish","Alburnus alburnus"
"fish","Anguilla anguilla"
"fish","Blicca bjoerkna"
"fish","Carassius carassius"
"fish","Coregonus albula"
"fish","Coregonus lavaretus"
"fish","Cottus gobio"
"fish","Cottus poecilopus"
"fish","Esox lucius"
"fish","Gasterosteus aculeatus"
"fish","Gymnocephalus cernuus"
"fish","Lampetra fluviatilis"
"fish","Lampetra planeri"
"fish","Leuciscus aspius"
"fish","Lethenteron camtschaticum"
"fish","Leuciscus cephalus"
"fish","Leuciscus idus"
"fish","Leuciscus leuciscus"
"fish","Lota lota"
"fish","Myoxocephalus quadricornis"
"fish","Osmerus eperlanus"
"fish","Perca fluviatilis"
"fish","Petromyzon marinus"
"fish","Phoxinus phoxinus"
"fish","Pungitius pungitius"
"fish","Rutilus rutilus"
"fish","Salmo salar"
"fish","Salmo trutta"
"fish","Salvelinus alpinus"
"fish","Sander lucioperca"
"fish","Scardinius erythrophthalmus"
"fish","Thymallus thymallus"
"aquaticPlants","Baldellia repens"
"aquaticPlants","Calamistrum globuliferum"
"aquaticPlants","Crassula aquatica"
"aquaticPlants","Crassula helmsii"
"aquaticPlants","Elatine hexandra"
"aquaticPlants","Elatine hydropiper"
"aquaticPlants","Elatine orthosperma"
"aquaticPlants","Elatine triandra"
"aquaticPlants","Eleocharis acicularis"
"aquaticPlants","Eleocharis parvula"
"aquaticPlants","Isoetes echinospora"
"aquaticPlants","Isoetes lacustris"
"aquaticPlants","Limosella aquatica"
"aquaticPlants","Littorella uniflora"
"aquaticPlants","Lobelia dortmanna"
"aquaticPlants","Lythrum portula"
"aquaticPlants","Persicaria foliosa"
"aquaticPlants","Ranunculus reptans"
"aquaticPlants","Subularia aquatica"
"aquaticPlants","Callitriche brutia"
"aquaticPlants","Callitriche cophocarpa"
"aquaticPlants","Callitriche hamulata"
"aquaticPlants","Callitriche hermaphroditica"
"aquaticPlants","Callitriche palustris"
"aquaticPlants","Callitriche platycarpa"
"aquaticPlants","Callitriche stagnalis"
"aquaticPlants","Ceratophyllum demersum"
"aquaticPlants","Elatine alsinastrum"
"aquaticPlants","Elodea canadensis"
"aquaticPlants","Elodea nuttallii"
"aquaticPlants","Groenlandia densa"
"aquaticPlants","Hippuris lanceolata"
"aquaticPlants","Hippuris tetraphylla"
"aquaticPlants","Hippuris vulgaris"
"aquaticPlants","Juncus bulbosus"
"aquaticPlants","Myriophyllum alterniflorum"
"aquaticPlants","Myriophyllum sibiricum"
"aquaticPlants","Myriophyllum spicatum"
"aquaticPlants","Myriophyllum verticillatum"
"aquaticPlants","Najas flexilis"
"aquaticPlants","Najas marina"
"aquaticPlants","Potamogeton alpinus"
"aquaticPlants","Potamogeton berchtoldii"
"aquaticPlants","Potamogeton compressus"
"aquaticPlants","Potamogeton crispus"
"aquaticPlants","Potamogeton friesii"
"aquaticPlants","Potamogeton gramineus"
"aquaticPlants","Potamogeton lucens"
"aquaticPlants","Potamogeton obtusifolius"
"aquaticPlants","Potamogeton perfoliatus"
"aquaticPlants","Potamogeton praelongus"
"aquaticPlants","Potamogeton pusillus"
"aquaticPlants","Potamogeton rutilus"
"aquaticPlants","Potamogeton trichoides"
"aquaticPlants","Potamogeton cognatus"
"aquaticPlants","Potamogeton semifructus"
"aquaticPlants","Ranunculus aquatilis"
"aquaticPlants","Ranunculus circinatus"
"aquaticPlants","Ranunculus confervoides"
"aquaticPlants","Ranunculus peltatus"
"aquaticPlants","Ranunculus trichophyllus"
"aquaticPlants","Ruppia cirrhosa"
"aquaticPlants","Ruppia maritima"
"aquaticPlants","Stuckenia filiformis"
"aquaticPlants","Stuckenia pectinata"
"aquaticPlants","Stuckenia vaginata"
"aquaticPlants","Utricularia australis"
"aquaticPlants","Utricularia intermedia"
"aquaticPlants","Utricularia minor"
"aquaticPlants","Utricularia ochroleuca"
"aquaticPlants","Utricularia stygia"
"aquaticPlants","Utricularia vulgaris"
"aquaticPlants","Zannichellia major"
"aquaticPlants","Zannichellia palustris"
"aquaticPlants","Zannichellia palustris pedicellata"
"aquaticPlants","Zostera angustifolia"
"aquaticPlants","Zostera marina"
"aquaticPlants","Zostera noltii"
"aquaticPlants","Eleogiton fluitans"
"aquaticPlants","Luronium natans"
"aquaticPlants","Nuphar lutea"
"aquaticPlants","Nuphar pumila"
"aquaticPlants","Nymphaea alba"
"aquaticPlants","Nymphoides peltata"
"aquaticPlants","Persicaria amphibia"
"aquaticPlants","Potamogeton natans"
"aquaticPlants","Potamogeton polygonifolius"
"aquaticPlants","Sagittaria sagittifolia"
"aquaticPlants","Sagittaria lunata"
"aquaticPlants","Sparganium angustifolium"
"aquaticPlants","Sparganium emersum"
"aquaticPlants","Sparganium glomeratum"
"aquaticPlants","Sparganium gramineum"
"aquaticPlants","Sparganium hyperboreum"
"aquaticPlants","Sparganium natans"
"aquaticPlants","Azolla filiculoides"
"aquaticPlants","Hydrocharis morsus-ranae"
"aquaticPlants","Lemna gibba"
"aquaticPlants","Lemna japonica"
"aquaticPlants","Lemna minor"
"aquaticPlants","Lemna minuta"
"aquaticPlants","Lemna trisulca"
"aquaticPlants","Lemna turionifera"
"aquaticPlants","Pistia stratiotes"
"aquaticPlants","Ricciocarpos natans"
"aquaticPlants","Spirodela polyrhiza"
"aquaticPlants","Stratiotes aloides"
"aquaticPlants","Chara aculeolata"
"aquaticPlants","Chara aspera"
"aquaticPlants","Chara baltica"
"aquaticPlants","Chara braunii"
"aquaticPlants","Chara canescens"
"aquaticPlants","Chara contraria"
"aquaticPlants","Chara curta"
"aquaticPlants","Chara globularis"
"aquaticPlants","Chara hispida"
"aquaticPlants","Chara papillosa"
"aquaticPlants","Chara strigosa"
"aquaticPlants","Chara subspinosa"
"aquaticPlants","Chara tomentosa"
"aquaticPlants","Chara virgata"
"aquaticPlants","Chara vulgaris"
"aquaticPlants","Lamprothamnium papulosum"
"aquaticPlants","Nitella confervacea"
"aquaticPlants","Nitella flexilis"
"aquaticPlants","Nitella gracilis"
"aquaticPlants","Nitella mucronata"
"aquaticPlants","Nitella opaca"
"aquaticPlants","Nitella translucens"
"aquaticPlants","Nitella wahlbergiana"
"aquaticPlants","Tolypella canadensis"
"aquaticPlants","Tolypella nidifica"
"aquaticPlants","Tolypella normaniana"
"insects","Hydrachnidae"
"insects","Hydrodromidae"
"insects","Hydrophantidae"
"insects","Argyroneta aquatica"
"insects","Dytiscidae"
"insects","Gyrinidae"
"insects","Haliplidae"
"insects","Noteridae"
"insects","Helophorus nubilus"
"insects","Helophorus tuberculatus"
"insects","Helophorus sibiricus"
"insects","Helophorus aquaticus"
"insects","Helophorus aequalis"
"insects","Helophorus grandis"
"insects","Helophorus strandi"
"insects","Helophorus brevipalpis"
"insects","Helophorus arvernicus"
"insects","Helophorus glacialis"
"insects","Helophorus granularis"
"insects","Helophorus discrepans"
"insects","Helophorus minutus"
"insects","Helophorus lapponicus"
"insects","Helophorus fulgidicollis"
"insects","Helophorus griseus"
"insects","Helophorus nanus"
"insects","Helophorus redtenbacheri"
"insects","Helophorus pumilio"
"insects","Helophorus pallidus"
"insects","Helophorus laticollis"
"insects","Helophorus strigifrons"
"insects","Helophorus asperatus"
"insects","Helophorus flavipes"
"insects","Helophorus obscurus"
"insects","Hydrochus elongatus"
"insects","Hydrochus ignicollis"
"insects","Hydrochus carinatus"
"insects","Hydrochus brevis"
"insects","Hydrochus megaphallus"
"insects","Spercheus emarginatus"
"insects","Berosus spinosus"
"insects","Berosus fulvus"
"insects","Berosus jaechi"
"insects","Berosus frontifoveatus"
"insects","Berosus signaticollis"
"insects","Berosus luridus"
"insects","Chaetarthria seminulum"
"insects","Paracymus aeneus"
"insects","Anacaena globulus"
"insects","Anacaena lutescens"
"insects","Anacaena limbata"
"insects","Laccobius decorus"
"insects","Laccobius minutus"
"insects","Laccobius biguttatus"
"insects","Laccobius sinuatus"
"insects","Laccobius striatulus"
"insects","Laccobius bipunctatus"
"insects","Helochares punctatus"
"insects","Helochares obscurus"
"insects","Enochrus melanocephalus"
"insects","Enochrus ochropterus"
"insects","Enochrus fuscipennis"
"insects","Enochrus quadripunctatus"
"insects","Enochrus halophilus"
"insects","Enochrus bicolor"
"insects","Enochrus testaceus"
"insects","Enochrus affinis"
"insects","Enochrus coarctatus"
"insects","Cymbiodyta marginella"
"insects","Hydrobius fuscipes"
"insects","Hydrobius arcticus"
"insects","Limnoxenus niger"
"insects","Hydrochara caraboides"
"insects","Hydrophilus piceus"
"insects","Hydrophilus aterrimus"
"insects","Coleostoma orbiculare"
"insects","Cercyon ustulatus"
"insects","Cercyon laminatus"
"insects","Cercyon littoralis"
"insects","Cercyon depressus"
"insects","Cercyon obsoletus"
"insects","Cercyon impressus"
"insects","Cercyon haemorrhoidalis"
"insects","Cercyon melanocephalus"
"insects","Cercyon emarginatus"
"insects","Cercyon borealis"
"insects","Cercyon lateralis"
"insects","Cercyon bifenestratus"
"insects","Cercyon marinus"
"insects","Cercyon unipunctatus"
"insects","Cercyon quisquilius"
"insects","Cercyon terminatus"
"insects","Cercyon pygmaeus"
"insects","Cercyon atricapillus"
"insects","Cercyon  granarius"
"insects","Cercyon tristis"
"insects","Cercyon convexiusculus"
"insects","Cercyon sternalis"
"insects","Cercyon analis"
"insects","Megasternum obscurum"
"insects","Cryptopleurum subtile"
"insects","Cryptopleurum minutum"
